smiles,ee
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/c1ccc(cc1)N(=O)=O)\C.ClCCl,98
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/c1cccc(c1)N(=O)=O)\C.ClCCl,98
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/c1cccc(c1)OC)\C.ClCCl,95
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/c1cc2c(cc1)cc(cc2)OC)\C.ClCCl,92
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/C(C)C)\C.ClCCl,84
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)/COC.ClCCl,92
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1c(cccc1C)C)(/C(=O)OC)\C.ClCCl,95
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,95
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,85
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,88
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,81
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,80
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,6
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,92
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,97
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,90
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C=C(NC(=O)C)c1ccc(cc1)OC.ClCCl,87
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C(=C(\NC(=O)C)/c1ccccc1)\CC.ClCCl,85
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C(=C(\NC(=O)C)/c1ccccc1)/CC.ClCCl,1
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(CC)CC)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,85
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCC1)cccc2.C(=C(\NC(=O)C)/C(=O)OC)\c1ccccc1.ClCCl,76
